Rowid,Country,State lgd code,State,Year,Region-wise installation of electricity,"Energy value type ( potential, capacity, generation )",Types of energy sources,Nature of energy sources,"Types of usage (utility ,captive)",Type of energy sector,Values for renewable electricity
1,India,1,Jammu And Kashmir,2011,NR,Capacity,SMALL HYDRO,,,,126.5014422976179028303971
2,India,1,Jammu And Kashmir,2011,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
3,India,1,Jammu And Kashmir,2011,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
4,India,1,Jammu And Kashmir,2011,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,3.4821397555054491152572
5,India,1,Jammu And Kashmir,2011,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
6,India,1,Jammu And Kashmir,2011,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,8671.9462784685354040738895
7,India,1,Jammu And Kashmir,2011,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,3474.510348175970884049614
8,India,1,Jammu And Kashmir,2011,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
9,India,1,Jammu And Kashmir,2011,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,13.8209648160932573029731
10,India,1,Jammu And Kashmir,2011,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,246.31932814878391414266149
11,India,1,Jammu And Kashmir,2011,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
12,India,1,Jammu And Kashmir,2011,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
13,India,1,Jammu And Kashmir,2011,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
14,India,1,Jammu And Kashmir,2011,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
15,India,1,Jammu And Kashmir,2012,NR,Capacity,SMALL HYDRO,,,,127.6751972713837845546411
16,India,1,Jammu And Kashmir,2012,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
17,India,1,Jammu And Kashmir,2012,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,8494.07349348576407777908
18,India,1,Jammu And Kashmir,2012,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,3516.4427446137570086482309
19,India,1,Jammu And Kashmir,2012,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,5.2916786733945167734667
20,India,1,Jammu And Kashmir,2012,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,248.60423783104816389918981
21,India,1,Jammu And Kashmir,2012,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
22,India,1,Jammu And Kashmir,2012,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
23,India,1,Jammu And Kashmir,2012,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
24,India,1,Jammu And Kashmir,2013,NR,Capacity,SMALL HYDRO,,,,127.6751972713837845546411
25,India,1,Jammu And Kashmir,2013,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
26,India,1,Jammu And Kashmir,2013,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
27,India,1,Jammu And Kashmir,2013,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,3.4038894239210570003076
28,India,1,Jammu And Kashmir,2013,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
29,India,1,Jammu And Kashmir,2013,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,8593.6568217183510930668147
30,India,1,Jammu And Kashmir,2013,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,3619.07783577813531641900
31,India,1,Jammu And Kashmir,2013,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
32,India,1,Jammu And Kashmir,2013,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,0.00000000000000000000
33,India,1,Jammu And Kashmir,2013,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,248.60423783104816389918981
34,India,1,Jammu And Kashmir,2013,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
35,India,1,Jammu And Kashmir,2013,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
36,India,1,Jammu And Kashmir,2013,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
37,India,1,Jammu And Kashmir,2013,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
38,India,1,Jammu And Kashmir,2014,NR,Capacity,SMALL HYDRO,,,,144.3033927330671089814311
39,India,1,Jammu And Kashmir,2014,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
40,India,1,Jammu And Kashmir,2014,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
41,India,1,Jammu And Kashmir,2014,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,3.3452016752327629140954
42,India,1,Jammu And Kashmir,2014,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
43,India,1,Jammu And Kashmir,2014,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,8701.045620526481221820772
44,India,1,Jammu And Kashmir,2014,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,3453.9598548436199048609753
45,India,1,Jammu And Kashmir,2014,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
46,India,1,Jammu And Kashmir,2014,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,0.00000000000000000000
47,India,1,Jammu And Kashmir,2014,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,280.98226878238001126246055
48,India,1,Jammu And Kashmir,2014,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
49,India,1,Jammu And Kashmir,2014,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
50,India,1,Jammu And Kashmir,2014,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
51,India,1,Jammu And Kashmir,2014,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0.00000000000000000000
52,India,1,Jammu And Kashmir,2014,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0.00000000000000000000
53,India,1,Jammu And Kashmir,2015,NR,Capacity,SMALL HYDRO,,,,156.53
54,India,1,Jammu And Kashmir,2015,NR,Potential,BIOMASS,RENEWABLE,,,43
55,India,1,Jammu And Kashmir,2015,NR,Potential,SMALL HYDRO,RENEWABLE,,,1431
56,India,1,Jammu And Kashmir,2015,NR,Potential,SOLAR,RENEWABLE,,,111050
57,India,1,Jammu And Kashmir,2015,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
58,India,1,Jammu And Kashmir,2015,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
59,India,1,Jammu And Kashmir,2015,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,3.51
60,India,1,Jammu And Kashmir,2015,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
61,India,1,Jammu And Kashmir,2015,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,10640.92
62,India,1,Jammu And Kashmir,2015,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,3844.1
63,India,1,Jammu And Kashmir,2015,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
64,India,1,Jammu And Kashmir,2015,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,0
65,India,1,Jammu And Kashmir,2015,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,304.79
66,India,1,Jammu And Kashmir,2015,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
67,India,1,Jammu And Kashmir,2015,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
68,India,1,Jammu And Kashmir,2015,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
69,India,1,Jammu And Kashmir,2015,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
70,India,1,Jammu And Kashmir,2015,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
71,India,1,Jammu And Kashmir,2016,NR,Capacity,SMALL HYDRO,,,,156.53
72,India,1,Jammu And Kashmir,2016,NR,Capacity,SOLAR,,,,1
73,India,1,Jammu And Kashmir,2016,NR,Potential,WIND,RENEWABLE,,,5685
74,India,1,Jammu And Kashmir,2016,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
75,India,1,Jammu And Kashmir,2016,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
76,India,1,Jammu And Kashmir,2016,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,3.51
77,India,1,Jammu And Kashmir,2016,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
78,India,1,Jammu And Kashmir,2016,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,11155.85
79,India,1,Jammu And Kashmir,2016,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,3980.3
80,India,1,Jammu And Kashmir,2016,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
81,India,1,Jammu And Kashmir,2016,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,0
82,India,1,Jammu And Kashmir,2016,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,304.79
83,India,1,Jammu And Kashmir,2016,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
84,India,1,Jammu And Kashmir,2016,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
85,India,1,Jammu And Kashmir,2016,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
86,India,1,Jammu And Kashmir,2016,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
87,India,1,Jammu And Kashmir,2016,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
88,India,1,Jammu And Kashmir,2017,NR,Capacity,SMALL HYDRO,,,,158.03
89,India,1,Jammu And Kashmir,2017,NR,Capacity,SOLAR,,,,1.36
90,India,1,Jammu And Kashmir,2017,NR,Potential,BIOMASS,RENEWABLE,,,43
91,India,1,Jammu And Kashmir,2017,NR,Potential,SMALL HYDRO,RENEWABLE,,,1431
92,India,1,Jammu And Kashmir,2017,NR,Potential,SOLAR,RENEWABLE,,,111050
93,India,1,Jammu And Kashmir,2017,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
94,India,1,Jammu And Kashmir,2017,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
95,India,1,Jammu And Kashmir,2017,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,2.264
96,India,1,Jammu And Kashmir,2017,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
97,India,1,Jammu And Kashmir,2017,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,10588.09
98,India,1,Jammu And Kashmir,2017,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,4789.6
99,India,1,Jammu And Kashmir,2017,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
100,India,1,Jammu And Kashmir,2017,,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
101,India,1,Jammu And Kashmir,2017,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,325.356
102,India,1,Jammu And Kashmir,2017,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
103,India,1,Jammu And Kashmir,2017,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0.77
104,India,1,Jammu And Kashmir,2017,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
105,India,1,Jammu And Kashmir,2017,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
106,India,1,Jammu And Kashmir,2018,NR,Capacity,SMALL HYDRO,,,,179.03
107,India,1,Jammu And Kashmir,2018,NR,Capacity,SOLAR,,,,1.36
108,India,1,Jammu And Kashmir,2018,NR,Potential,BIOMASS,RENEWABLE,,,43
109,India,1,Jammu And Kashmir,2018,NR,Potential,SMALL HYDRO,RENEWABLE,,,1707
110,India,1,Jammu And Kashmir,2018,NR,Potential,SOLAR,RENEWABLE,,,111050
111,India,1,Jammu And Kashmir,2018,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
112,India,1,Jammu And Kashmir,2018,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
113,India,1,Jammu And Kashmir,2018,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,4.11
114,India,1,Jammu And Kashmir,2018,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
115,India,1,Jammu And Kashmir,2018,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,9800.67
116,India,1,Jammu And Kashmir,2018,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,5136.89
117,India,1,Jammu And Kashmir,2018,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
118,India,1,Jammu And Kashmir,2018,,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
119,India,1,Jammu And Kashmir,2018,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,324.37
120,India,1,Jammu And Kashmir,2018,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
121,India,1,Jammu And Kashmir,2018,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
122,India,1,Jammu And Kashmir,2018,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
123,India,1,Jammu And Kashmir,2018,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
124,India,1,Jammu And Kashmir,2019,NR,Capacity,SMALL HYDRO,,,,179.03
125,India,1,Jammu And Kashmir,2019,NR,Capacity,SOLAR,,,,14.83
126,India,1,Jammu And Kashmir,2019,NR,Potential,BIOMASS,RENEWABLE,,,43
127,India,1,Jammu And Kashmir,2019,NR,Potential,SMALL HYDRO,RENEWABLE,,,1431
128,India,1,Jammu And Kashmir,2019,NR,Potential,SOLAR,RENEWABLE,,,111050
129,India,1,Jammu And Kashmir,2019,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
130,India,1,Jammu And Kashmir,2019,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
131,India,1,Jammu And Kashmir,2019,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,3.322
132,India,1,Jammu And Kashmir,2019,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
133,India,1,Jammu And Kashmir,2019,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,11497.22
134,India,1,Jammu And Kashmir,2019,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,5044.36
135,India,1,Jammu And Kashmir,2019,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
136,India,1,Jammu And Kashmir,2019,,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
137,India,1,Jammu And Kashmir,2019,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,312.196
138,India,1,Jammu And Kashmir,2019,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
139,India,1,Jammu And Kashmir,2019,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
140,India,1,Jammu And Kashmir,2019,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
141,India,1,Jammu And Kashmir,2019,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
142,India,1,Jammu And Kashmir,2020,NR,Capacity,SMALL HYDRO,,,,180.48
143,India,1,Jammu And Kashmir,2020,NR,Capacity,SOLAR,,,,19.3
144,India,1,Jammu And Kashmir,2020,NR,Potential,BIOMASS,RENEWABLE,,,43
145,India,1,Jammu And Kashmir,2020,NR,Potential,SMALL HYDRO,RENEWABLE,,,1707
146,India,1,Jammu And Kashmir,2020,NR,Potential,SOLAR,RENEWABLE,,,111050
147,India,1,Jammu And Kashmir,2020,NR,Potential,WIND,RENEWABLE,,,3
148,India,1,Jammu And Kashmir,2020,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
149,India,1,Jammu And Kashmir,2020,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
150,India,1,Jammu And Kashmir,2020,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,5.698
151,India,1,Jammu And Kashmir,2020,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
152,India,1,Jammu And Kashmir,2020,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,13043.2
153,India,1,Jammu And Kashmir,2020,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,5321.2
154,India,1,Jammu And Kashmir,2020,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
155,India,1,Jammu And Kashmir,2020,,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
156,India,1,Jammu And Kashmir,2020,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,443.126
157,India,1,Jammu And Kashmir,2020,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
158,India,1,Jammu And Kashmir,2020,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
159,India,1,Jammu And Kashmir,2020,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
160,India,1,Jammu And Kashmir,2020,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
161,India,2,Himachal Pradesh,2011,NR,Capacity,SMALL HYDRO,,,,393.47
162,India,2,Himachal Pradesh,2011,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
163,India,2,Himachal Pradesh,2011,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,46.92
164,India,2,Himachal Pradesh,2011,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,73.43
165,India,2,Himachal Pradesh,2011,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
166,India,2,Himachal Pradesh,2011,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,22082.95
167,India,2,Himachal Pradesh,2011,,Generation,HYDRO,NON-RENEWABLE,UTILITY,PRIVATE,1951.74
168,India,2,Himachal Pradesh,2011,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,1738.59
169,India,2,Himachal Pradesh,2011,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
170,India,2,Himachal Pradesh,2011,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,953.169
171,India,2,Himachal Pradesh,2011,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
172,India,2,Himachal Pradesh,2011,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
173,India,2,Himachal Pradesh,2011,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
174,India,2,Himachal Pradesh,2011,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
175,India,2,Himachal Pradesh,2012,NR,Capacity,SMALL HYDRO,,,,527.66
176,India,2,Himachal Pradesh,2012,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
177,India,2,Himachal Pradesh,2012,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,23828.21
178,India,2,Himachal Pradesh,2012,,Generation,HYDRO,NON-RENEWABLE,UTILITY,PRIVATE,4981.39
179,India,2,Himachal Pradesh,2012,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,1657.3
180,India,2,Himachal Pradesh,2012,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,1278.241
181,India,2,Himachal Pradesh,2012,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
182,India,2,Himachal Pradesh,2012,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
183,India,2,Himachal Pradesh,2012,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
184,India,2,Himachal Pradesh,2013,NR,Capacity,SMALL HYDRO,,,,587.905
185,India,2,Himachal Pradesh,2013,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
186,India,2,Himachal Pradesh,2013,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,42.01
187,India,2,Himachal Pradesh,2013,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,72.16
188,India,2,Himachal Pradesh,2013,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
189,India,2,Himachal Pradesh,2013,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,21842.44
190,India,2,Himachal Pradesh,2013,,Generation,HYDRO,NON-RENEWABLE,UTILITY,PRIVATE,6780.2
191,India,2,Himachal Pradesh,2013,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,1460.22
192,India,2,Himachal Pradesh,2013,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
193,India,2,Himachal Pradesh,2013,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,1424.182
194,India,2,Himachal Pradesh,2013,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
195,India,2,Himachal Pradesh,2013,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
196,India,2,Himachal Pradesh,2013,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
197,India,2,Himachal Pradesh,2013,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
198,India,2,Himachal Pradesh,2014,NR,Capacity,SMALL HYDRO,,,,638.91
199,India,2,Himachal Pradesh,2014,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
200,India,2,Himachal Pradesh,2014,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,50.43
201,India,2,Himachal Pradesh,2014,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,80.72
202,India,2,Himachal Pradesh,2014,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
203,India,2,Himachal Pradesh,2014,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,23644.2
204,India,2,Himachal Pradesh,2014,,Generation,HYDRO,NON-RENEWABLE,UTILITY,PRIVATE,7578.37
205,India,2,Himachal Pradesh,2014,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,1594.09
206,India,2,Himachal Pradesh,2014,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
207,India,2,Himachal Pradesh,2014,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,1547.741
208,India,2,Himachal Pradesh,2014,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
209,India,2,Himachal Pradesh,2014,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
210,India,2,Himachal Pradesh,2014,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
211,India,2,Himachal Pradesh,2014,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
212,India,2,Himachal Pradesh,2014,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
213,India,2,Himachal Pradesh,2015,NR,Capacity,SMALL HYDRO,,,,723.91
214,India,2,Himachal Pradesh,2015,NR,Potential,BIOMASS,RENEWABLE,,,142
215,India,2,Himachal Pradesh,2015,NR,Potential,SMALL HYDRO,RENEWABLE,,,2398
216,India,2,Himachal Pradesh,2015,NR,Potential,SOLAR,RENEWABLE,,,33840
217,India,2,Himachal Pradesh,2015,NR,Potential,WASTE,RENEWABLE,,,2
218,India,2,Himachal Pradesh,2015,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
219,India,2,Himachal Pradesh,2015,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,52.12
220,India,2,Himachal Pradesh,2015,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,96.56
221,India,2,Himachal Pradesh,2015,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
222,India,2,Himachal Pradesh,2015,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,24430.65
223,India,2,Himachal Pradesh,2015,,Generation,HYDRO,NON-RENEWABLE,UTILITY,PRIVATE,6985.46
224,India,2,Himachal Pradesh,2015,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,1649.61
225,India,2,Himachal Pradesh,2015,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
226,India,2,Himachal Pradesh,2015,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,1753.651
227,India,2,Himachal Pradesh,2015,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
228,India,2,Himachal Pradesh,2015,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
229,India,2,Himachal Pradesh,2015,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
230,India,2,Himachal Pradesh,2015,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
231,India,2,Himachal Pradesh,2015,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
232,India,2,Himachal Pradesh,2016,NR,Capacity,SMALL HYDRO,,,,793.31
233,India,2,Himachal Pradesh,2016,NR,Capacity,SOLAR,,,,0.201
234,India,2,Himachal Pradesh,2016,NR,Potential,WIND,RENEWABLE,,,64
235,India,2,Himachal Pradesh,2016,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
236,India,2,Himachal Pradesh,2016,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,50.62
237,India,2,Himachal Pradesh,2016,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,91.77
238,India,2,Himachal Pradesh,2016,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
239,India,2,Himachal Pradesh,2016,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,29152.21
240,India,2,Himachal Pradesh,2016,,Generation,HYDRO,NON-RENEWABLE,UTILITY,PRIVATE,7739.99
