Rowid,Country,State lgd code,State,Year,Name of the coal field,Type of coal,Depth of the reserve,Type of reserve,Coal reserved quantity
1,India,9,Uttar Pradesh,2011,SINGRAULI,NON-COKING,0-300,INDICATED,195.75
2,India,9,Uttar Pradesh,2011,SINGRAULI,NON-COKING,0-300,PROVED,866.05
3,India,9,Uttar Pradesh,2012,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
4,India,9,Uttar Pradesh,2012,SINGRAULI,NON-COKING,0-300,PROVED,884.04
5,India,9,Uttar Pradesh,2013,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
6,India,9,Uttar Pradesh,2013,SINGRAULI,NON-COKING,0-300,PROVED,884.04
7,India,9,Uttar Pradesh,2014,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
8,India,9,Uttar Pradesh,2014,SINGRAULI,NON-COKING,0-300,PROVED,884.04
9,India,9,Uttar Pradesh,2015,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
10,India,9,Uttar Pradesh,2015,SINGRAULI,NON-COKING,0-300,PROVED,884.04
11,India,9,Uttar Pradesh,2016,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
12,India,9,Uttar Pradesh,2016,SINGRAULI,NON-COKING,0-300,PROVED,884.04
13,India,9,Uttar Pradesh,2017,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
14,India,9,Uttar Pradesh,2017,SINGRAULI,NON-COKING,0-300,PROVED,884.04
15,India,9,Uttar Pradesh,2018,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
16,India,9,Uttar Pradesh,2018,SINGRAULI,NON-COKING,0-300,PROVED,884.04
17,India,9,Uttar Pradesh,2019,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
18,India,9,Uttar Pradesh,2019,SINGRAULI,NON-COKING,0-300,PROVED,884.04
19,India,9,Uttar Pradesh,2020,SINGRAULI,NON-COKING,0-300,INDICATED,177.76
20,India,9,Uttar Pradesh,2020,SINGRAULI,NON-COKING,0-300,PROVED,884.04
21,India,10,Bihar,2011,RAJMAHAL,NON-COKING,0-300,INFERRED,160
22,India,10,Bihar,2012,RAJMAHAL,NON-COKING,0-300,INFERRED,160
23,India,10,Bihar,2013,RAJMAHAL,NON-COKING,0-300,INFERRED,160
24,India,10,Bihar,2014,RAJMAHAL,NON-COKING,0-300,INFERRED,160
25,India,10,Bihar,2015,RAJMAHAL,NON-COKING,0-300,INFERRED,160
26,India,10,Bihar,2016,RAJMAHAL,NON-COKING,0-300,INFERRED,160
27,India,10,Bihar,2017,RAJMAHAL,NON-COKING,0-300,INFERRED,486.15
28,India,10,Bihar,2017,RAJMAHAL,NON-COKING,300-600,INFERRED,740.5
29,India,10,Bihar,2017,RAJMAHAL,NON-COKING,600-1200,INFERRED,126.85
30,India,10,Bihar,2018,RAJMAHAL,NON-COKING,0-300,INDICATED,194.36
31,India,10,Bihar,2018,RAJMAHAL,NON-COKING,0-300,INFERRED,131.79
32,India,10,Bihar,2018,RAJMAHAL,NON-COKING,0-300,PROVED,161.11
33,India,10,Bihar,2018,RAJMAHAL,NON-COKING,300-600,INDICATED,480.14
34,India,10,Bihar,2018,RAJMAHAL,NON-COKING,300-600,INFERRED,260.36
35,India,10,Bihar,2018,RAJMAHAL,NON-COKING,600-1200,INDICATED,138.99
36,India,10,Bihar,2019,RAJMAHAL,NON-COKING,0-300,INDICATED,607.43
37,India,10,Bihar,2019,RAJMAHAL,NON-COKING,0-300,INFERRED,11.3
38,India,10,Bihar,2019,RAJMAHAL,NON-COKING,0-300,PROVED,309.53
39,India,10,Bihar,2019,RAJMAHAL,NON-COKING,300-600,INDICATED,764.55
40,India,10,Bihar,2019,RAJMAHAL,NON-COKING,600-1200,INDICATED,141.03
41,India,10,Bihar,2020,RAJMAHAL,NON-COKING,0-300,INDICATED,759.88
42,India,10,Bihar,2020,RAJMAHAL,NON-COKING,0-300,INFERRED,11.3
43,India,10,Bihar,2020,RAJMAHAL,NON-COKING,0-300,PROVED,309.53
44,India,10,Bihar,2020,RAJMAHAL,NON-COKING,300-600,INDICATED,1173.38
45,India,10,Bihar,2020,RAJMAHAL,NON-COKING,600-1200,INDICATED,497.32
46,India,11,Sikkim,2011,RANGIT VALLEY,NON-COKING,0-300,INDICATED,58.25
47,India,11,Sikkim,2011,RANGIT VALLEY,NON-COKING,0-300,INFERRED,42.98
48,India,11,Sikkim,2012,RANGIT VALLEY,NON-COKING,0-300,INDICATED,58.25
49,India,11,Sikkim,2012,RANGIT VALLEY,NON-COKING,0-300,INFERRED,42.98
50,India,11,Sikkim,2013,RANGIT VALLEY,NON-COKING,0-300,INDICATED,58.25
51,India,11,Sikkim,2013,RANGIT VALLEY,NON-COKING,0-300,INFERRED,42.98
52,India,11,Sikkim,2014,RANGIT VALLEY,NON-COKING,0-300,INDICATED,58.25
53,India,11,Sikkim,2014,RANGIT VALLEY,NON-COKING,0-300,INFERRED,42.98
54,India,11,Sikkim,2015,RANGIT VALLEY,NON-COKING,0-300,INDICATED,58.25
55,India,11,Sikkim,2015,RANGIT VALLEY,NON-COKING,0-300,INFERRED,42.98
56,India,11,Sikkim,2016,RANGIT VALLEY,NON-COKING,0-300,INDICATED,58.25
57,India,11,Sikkim,2016,RANGIT VALLEY,NON-COKING,0-300,INFERRED,42.98
58,India,11,Sikkim,2017,RANGIT VALLEY,NON-COKING,0-300,INDICATED,58.25
59,India,11,Sikkim,2017,RANGIT VALLEY,NON-COKING,0-300,INFERRED,42.98
60,India,11,Sikkim,2018,RANGIT VALLEY,NON-COKING,0-300,INDICATED,58.25
61,India,11,Sikkim,2018,RANGIT VALLEY,NON-COKING,0-300,INFERRED,42.98
62,India,11,Sikkim,2019,RANGIT VALLEY,NON-COKING,0-300,INDICATED,58.25
63,India,11,Sikkim,2019,RANGIT VALLEY,NON-COKING,0-300,INFERRED,42.98
64,India,11,Sikkim,2020,RANGIT VALLEY,NON-COKING,0-300,INDICATED,58.25
65,India,11,Sikkim,2020,RANGIT VALLEY,NON-COKING,0-300,INFERRED,42.98
66,India,12,Arunachal Pradesh,2011,MIAO BUM,HIGH SULPHUR,0-300,INFERRED,6
67,India,12,Arunachal Pradesh,2011,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INDICATED,40.11
68,India,12,Arunachal Pradesh,2011,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INFERRED,12.89
69,India,12,Arunachal Pradesh,2011,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,PROVED,31.23
70,India,12,Arunachal Pradesh,2012,MIAO BUM,HIGH SULPHUR,0-300,INFERRED,6
71,India,12,Arunachal Pradesh,2012,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INDICATED,40.11
72,India,12,Arunachal Pradesh,2012,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INFERRED,12.89
73,India,12,Arunachal Pradesh,2012,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,PROVED,31.23
74,India,12,Arunachal Pradesh,2013,MIAO BUM,HIGH SULPHUR,0-300,INFERRED,6
75,India,12,Arunachal Pradesh,2013,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INDICATED,40.11
76,India,12,Arunachal Pradesh,2013,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INFERRED,12.89
77,India,12,Arunachal Pradesh,2013,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,PROVED,31.23
78,India,12,Arunachal Pradesh,2014,MIAO BUM,HIGH SULPHUR,0-300,INFERRED,6
79,India,12,Arunachal Pradesh,2014,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INDICATED,40.11
80,India,12,Arunachal Pradesh,2014,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INFERRED,12.89
81,India,12,Arunachal Pradesh,2014,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,PROVED,31.23
82,India,12,Arunachal Pradesh,2015,MIAO BUM,HIGH SULPHUR,0-300,INFERRED,6
83,India,12,Arunachal Pradesh,2015,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INDICATED,40.11
84,India,12,Arunachal Pradesh,2015,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INFERRED,12.89
85,India,12,Arunachal Pradesh,2015,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,PROVED,31.23
86,India,12,Arunachal Pradesh,2016,MIAO BUM,HIGH SULPHUR,0-300,INFERRED,6
87,India,12,Arunachal Pradesh,2016,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INDICATED,40.11
88,India,12,Arunachal Pradesh,2016,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INFERRED,12.89
89,India,12,Arunachal Pradesh,2016,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,PROVED,31.23
90,India,12,Arunachal Pradesh,2017,MIAO BUM,HIGH SULPHUR,0-300,INFERRED,6
91,India,12,Arunachal Pradesh,2017,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INDICATED,40.11
92,India,12,Arunachal Pradesh,2017,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INFERRED,12.89
93,India,12,Arunachal Pradesh,2017,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,PROVED,31.23
94,India,12,Arunachal Pradesh,2018,MIAO BUM,HIGH SULPHUR,0-300,INFERRED,6
95,India,12,Arunachal Pradesh,2018,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INDICATED,40.11
96,India,12,Arunachal Pradesh,2018,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INFERRED,12.89
97,India,12,Arunachal Pradesh,2018,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,PROVED,31.23
98,India,12,Arunachal Pradesh,2019,MIAO BUM,HIGH SULPHUR,0-300,INFERRED,6
99,India,12,Arunachal Pradesh,2019,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INDICATED,40.11
100,India,12,Arunachal Pradesh,2019,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INFERRED,12.89
101,India,12,Arunachal Pradesh,2019,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,PROVED,31.23
102,India,12,Arunachal Pradesh,2020,MIAO BUM,HIGH SULPHUR,0-300,INFERRED,6
103,India,12,Arunachal Pradesh,2020,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INDICATED,40.11
104,India,12,Arunachal Pradesh,2020,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INFERRED,12.89
105,India,12,Arunachal Pradesh,2020,NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,PROVED,31.23
106,India,13,Nagaland,2011,BORJAN,HIGH SULPHUR,0-300,INFERRED,4.5
107,India,13,Nagaland,2011,BORJAN,HIGH SULPHUR,0-300,PROVED,5.5
108,India,13,Nagaland,2011,JHANZI-DISAI,HIGH SULPHUR,0-300,INFERRED,0.08
109,India,13,Nagaland,2011,JHANZI-DISAI,HIGH SULPHUR,0-300,PROVED,2
110,India,13,Nagaland,2011,TIRU VALLEY,HIGH SULPHUR,0-300,INFERRED,6.6
111,India,13,Nagaland,2011,TUEN SANG,HIGH SULPHUR,0-300,INFERRED,2
112,India,13,Nagaland,2011,TUEN SANG,HIGH SULPHUR,0-300,PROVED,1.26
113,India,13,Nagaland,2011,UNKNOWN,HIGH SULPHUR,0-300,INFERRED,293.47
114,India,13,Nagaland,2012,BORJAN,HIGH SULPHUR,0-300,INFERRED,0.08
115,India,13,Nagaland,2012,BORJAN,HIGH SULPHUR,0-300,PROVED,2
116,India,13,Nagaland,2012,JHANZI-DISAI,HIGH SULPHUR,0-300,INFERRED,2
117,India,13,Nagaland,2012,JHANZI-DISAI,HIGH SULPHUR,0-300,PROVED,1.26
118,India,13,Nagaland,2012,TIRU VALLEY,HIGH SULPHUR,0-300,INFERRED,293.47
119,India,13,Nagaland,2012,TUEN SANG,HIGH SULPHUR,0-300,INFERRED,6.6
120,India,13,Nagaland,2012,UNKNOWN,HIGH SULPHUR,0-300,INFERRED,293.47
121,India,13,Nagaland,2013,BORJAN,HIGH SULPHUR,0-300,INFERRED,4.5
122,India,13,Nagaland,2013,BORJAN,HIGH SULPHUR,0-300,PROVED,5.5
123,India,13,Nagaland,2013,JHANZI-DISAI,HIGH SULPHUR,0-300,INFERRED,0.08
124,India,13,Nagaland,2013,JHANZI-DISAI,HIGH SULPHUR,0-300,PROVED,2
125,India,13,Nagaland,2013,TIRU VALLEY,HIGH SULPHUR,0-300,INFERRED,6.6
126,India,13,Nagaland,2013,TUEN SANG,HIGH SULPHUR,0-300,INFERRED,2
127,India,13,Nagaland,2013,TUEN SANG,HIGH SULPHUR,0-300,PROVED,1.26
128,India,13,Nagaland,2013,UNKNOWN,HIGH SULPHUR,0-300,INFERRED,293.47
129,India,13,Nagaland,2014,BORJAN,HIGH SULPHUR,0-300,INFERRED,4.5
130,India,13,Nagaland,2014,BORJAN,HIGH SULPHUR,0-300,PROVED,5.5
131,India,13,Nagaland,2014,JHANZI-DISAI,HIGH SULPHUR,0-300,INFERRED,0.08
132,India,13,Nagaland,2014,JHANZI-DISAI,HIGH SULPHUR,0-300,PROVED,2
133,India,13,Nagaland,2014,TIRU VALLEY,HIGH SULPHUR,0-300,INFERRED,6.6
134,India,13,Nagaland,2014,TUEN SANG,HIGH SULPHUR,0-300,INFERRED,2
135,India,13,Nagaland,2014,TUEN SANG,HIGH SULPHUR,0-300,PROVED,1.26
136,India,13,Nagaland,2014,UNKNOWN,HIGH SULPHUR,0-300,INFERRED,293.47
137,India,13,Nagaland,2015,BORJAN,HIGH SULPHUR,0-300,INFERRED,4.5
138,India,13,Nagaland,2015,BORJAN,HIGH SULPHUR,0-300,PROVED,5.5
139,India,13,Nagaland,2015,JHANZI-DISAI,HIGH SULPHUR,0-300,INFERRED,0.08
140,India,13,Nagaland,2015,JHANZI-DISAI,HIGH SULPHUR,0-300,PROVED,2
141,India,13,Nagaland,2015,TIRU VALLEY,HIGH SULPHUR,0-300,INFERRED,6.6
142,India,13,Nagaland,2015,TUEN SANG,HIGH SULPHUR,0-300,INFERRED,2
143,India,13,Nagaland,2015,TUEN SANG,HIGH SULPHUR,0-300,PROVED,1.26
144,India,13,Nagaland,2015,UNKNOWN,HIGH SULPHUR,0-300,INFERRED,293.47
145,India,13,Nagaland,2016,BORJAN,HIGH SULPHUR,0-300,INFERRED,4.5
146,India,13,Nagaland,2016,BORJAN,HIGH SULPHUR,0-300,PROVED,5.5
147,India,13,Nagaland,2016,JHANZI-DISAI,HIGH SULPHUR,0-300,INFERRED,0.03
148,India,13,Nagaland,2016,JHANZI-DISAI,HIGH SULPHUR,0-300,PROVED,2
149,India,13,Nagaland,2016,TIRU VALLEY,HIGH SULPHUR,0-300,INFERRED,6
150,India,13,Nagaland,2016,TUEN SANG,HIGH SULPHUR,0-300,INFERRED,2
151,India,13,Nagaland,2016,TUEN SANG,HIGH SULPHUR,0-300,PROVED,1.2
152,India,13,Nagaland,2016,UNKNOWN,HIGH SULPHUR,0-300,INFERRED,293.47
153,India,13,Nagaland,2017,BORJAN,HIGH SULPHUR,0-300,INFERRED,4.5
154,India,13,Nagaland,2017,BORJAN,HIGH SULPHUR,0-300,PROVED,5.5
155,India,13,Nagaland,2017,DGM REPORT,HIGH SULPHUR,0-300,INFERRED,293.47
156,India,13,Nagaland,2017,JHANZI-DISAI,HIGH SULPHUR,0-300,INFERRED,95.12
157,India,13,Nagaland,2017,JHANZI-DISAI,HIGH SULPHUR,0-300,PROVED,2
158,India,13,Nagaland,2017,TIRU VALLEY,HIGH SULPHUR,0-300,INFERRED,6.6
159,India,13,Nagaland,2017,TUEN SANG,HIGH SULPHUR,0-300,INFERRED,2
160,India,13,Nagaland,2017,TUEN SANG,HIGH SULPHUR,0-300,PROVED,1.26
161,India,13,Nagaland,2018,BORJAN,HIGH SULPHUR,0-300,INFERRED,4.5
162,India,13,Nagaland,2018,BORJAN,HIGH SULPHUR,0-300,PROVED,5.5
163,India,13,Nagaland,2018,DGM REPORT,HIGH SULPHUR,0-300,INFERRED,293.47
164,India,13,Nagaland,2018,JHANZI-DISAI,HIGH SULPHUR,0-300,INFERRED,95.12
165,India,13,Nagaland,2018,JHANZI-DISAI,HIGH SULPHUR,0-300,PROVED,2
166,India,13,Nagaland,2018,TIRU VALLEY,HIGH SULPHUR,0-300,INFERRED,6.6
167,India,13,Nagaland,2018,TUEN SANG,HIGH SULPHUR,0-300,INFERRED,2
168,India,13,Nagaland,2018,TUEN SANG,HIGH SULPHUR,0-300,PROVED,1.26
169,India,13,Nagaland,2019,BORJAN,HIGH SULPHUR,0-300,INFERRED,4.5
170,India,13,Nagaland,2019,BORJAN,HIGH SULPHUR,0-300,PROVED,5.5
171,India,13,Nagaland,2019,DGM REPORT,HIGH SULPHUR,0-300,INFERRED,293.47
172,India,13,Nagaland,2019,JHANZI-DISAI,HIGH SULPHUR,0-300,INDICATED,21.83
173,India,13,Nagaland,2019,JHANZI-DISAI,HIGH SULPHUR,0-300,INFERRED,109.26
174,India,13,Nagaland,2019,JHANZI-DISAI,HIGH SULPHUR,0-300,PROVED,2
175,India,13,Nagaland,2019,TIRU VALLEY,HIGH SULPHUR,0-300,INFERRED,6.6
176,India,13,Nagaland,2019,TUEN SANG,HIGH SULPHUR,0-300,INFERRED,2
177,India,13,Nagaland,2019,TUEN SANG,HIGH SULPHUR,0-300,PROVED,1.26
178,India,13,Nagaland,2020,BORJAN,HIGH SULPHUR,0-300,INFERRED,4.5
179,India,13,Nagaland,2020,BORJAN,HIGH SULPHUR,0-300,PROVED,5.5
180,India,13,Nagaland,2020,DGM REPORT,HIGH SULPHUR,0-300,INFERRED,293.47
181,India,13,Nagaland,2020,JHANZI-DISAI,HIGH SULPHUR,0-300,INDICATED,21.83
182,India,13,Nagaland,2020,JHANZI-DISAI,HIGH SULPHUR,0-300,INFERRED,109.26
183,India,13,Nagaland,2020,JHANZI-DISAI,HIGH SULPHUR,0-300,PROVED,2
184,India,13,Nagaland,2020,TIRU VALLEY,HIGH SULPHUR,0-300,INFERRED,6.6
185,India,13,Nagaland,2020,TUEN SANG,HIGH SULPHUR,0-300,INFERRED,2
186,India,13,Nagaland,2020,TUEN SANG,HIGH SULPHUR,0-300,PROVED,1.26
187,India,17,Meghalaya,2011,BALPHAKRAM-PENDENGURU,HIGH SULPHUR,0-300,INFERRED,107.03
188,India,17,Meghalaya,2011,BAPUNG,HIGH SULPHUR,0-300,INFERRED,22.65
189,India,17,Meghalaya,2011,BAPUNG,HIGH SULPHUR,0-300,PROVED,11.01
190,India,17,Meghalaya,2011,EAST DARANGIRI,HIGH SULPHUR,0-300,INFERRED,34.19
191,India,17,Meghalaya,2011,JAYANTI HILLS (MINOR CF),HIGH SULPHUR,0-300,INFERRED,2.34
192,India,17,Meghalaya,2011,KHASI HILLS (MINOR CF),HIGH SULPHUR,0-300,INFERRED,10.1
193,India,17,Meghalaya,2011,LANGRIN,HIGH SULPHUR,0-300,INDICATED,16.51
194,India,17,Meghalaya,2011,LANGRIN,HIGH SULPHUR,0-300,INFERRED,106.19
195,India,17,Meghalaya,2011,LANGRIN,HIGH SULPHUR,0-300,PROVED,10.46
196,India,17,Meghalaya,2011,MAWLONG-SHELLA,HIGH SULPHUR,0-300,INFERRED,3.83
197,India,17,Meghalaya,2011,MAWLONG-SHELLA,HIGH SULPHUR,0-300,PROVED,2.17
198,India,17,Meghalaya,2011,SIJU,HIGH SULPHUR,0-300,INFERRED,125
199,India,17,Meghalaya,2011,WEST DARANGIRI,HIGH SULPHUR,0-300,INFERRED,59.6
200,India,17,Meghalaya,2011,WEST DARANGIRI,HIGH SULPHUR,0-300,PROVED,65.4
201,India,17,Meghalaya,2012,BALPHAKRAM-PENDENGURU,HIGH SULPHUR,0-300,INFERRED,125
202,India,17,Meghalaya,2012,BAPUNG,HIGH SULPHUR,0-300,INFERRED,2.34
203,India,17,Meghalaya,2012,EAST DARANGIRI,HIGH SULPHUR,0-300,INDICATED,16.51
204,India,17,Meghalaya,2012,EAST DARANGIRI,HIGH SULPHUR,0-300,INFERRED,106.19
205,India,17,Meghalaya,2012,EAST DARANGIRI,HIGH SULPHUR,0-300,PROVED,10.46
206,India,17,Meghalaya,2012,JAYANTI HILLS (MINOR CF),HIGH SULPHUR,0-300,INFERRED,59.6
207,India,17,Meghalaya,2012,JAYANTI HILLS (MINOR CF),HIGH SULPHUR,0-300,PROVED,65.4
208,India,17,Meghalaya,2012,KHASI HILLS (MINOR CF),HIGH SULPHUR,0-300,INFERRED,4.5
209,India,17,Meghalaya,2012,KHASI HILLS (MINOR CF),HIGH SULPHUR,0-300,PROVED,5.5
210,India,17,Meghalaya,2012,LANGRIN,HIGH SULPHUR,0-300,INFERRED,10.1
211,India,17,Meghalaya,2012,MAWLONG-SHELLA,HIGH SULPHUR,0-300,INFERRED,22.65
212,India,17,Meghalaya,2012,MAWLONG-SHELLA,HIGH SULPHUR,0-300,PROVED,11.01
213,India,17,Meghalaya,2012,SIJU,HIGH SULPHUR,0-300,INFERRED,3.83
214,India,17,Meghalaya,2012,SIJU,HIGH SULPHUR,0-300,PROVED,2.17
215,India,17,Meghalaya,2012,WEST DARANGIRI,HIGH SULPHUR,0-300,INFERRED,34.19
216,India,17,Meghalaya,2013,BALPHAKRAM-PENDENGURU,HIGH SULPHUR,0-300,INFERRED,107.03
217,India,17,Meghalaya,2013,BAPUNG,HIGH SULPHUR,0-300,INFERRED,22.65
218,India,17,Meghalaya,2013,BAPUNG,HIGH SULPHUR,0-300,PROVED,11.01
219,India,17,Meghalaya,2013,EAST DARANGIRI,HIGH SULPHUR,0-300,INFERRED,34.19
220,India,17,Meghalaya,2013,JAYANTI HILLS (MINOR CF),HIGH SULPHUR,0-300,INFERRED,2.34
221,India,17,Meghalaya,2013,KHASI HILLS (MINOR CF),HIGH SULPHUR,0-300,INFERRED,10.1
222,India,17,Meghalaya,2013,LANGRIN,HIGH SULPHUR,0-300,INDICATED,16.51
223,India,17,Meghalaya,2013,LANGRIN,HIGH SULPHUR,0-300,INFERRED,106.19
224,India,17,Meghalaya,2013,LANGRIN,HIGH SULPHUR,0-300,PROVED,10.46
225,India,17,Meghalaya,2013,MAWLONG-SHELLA,HIGH SULPHUR,0-300,INFERRED,3.83
226,India,17,Meghalaya,2013,MAWLONG-SHELLA,HIGH SULPHUR,0-300,PROVED,2.17
227,India,17,Meghalaya,2013,SIJU,HIGH SULPHUR,0-300,INFERRED,125
228,India,17,Meghalaya,2013,WEST DARANGIRI,HIGH SULPHUR,0-300,INFERRED,59.6
229,India,17,Meghalaya,2013,WEST DARANGIRI,HIGH SULPHUR,0-300,PROVED,65.4
230,India,17,Meghalaya,2014,BALPHAKRAM-PENDENGURU,HIGH SULPHUR,0-300,INFERRED,107.03
231,India,17,Meghalaya,2014,BAPUNG,HIGH SULPHUR,0-300,INFERRED,22.65
232,India,17,Meghalaya,2014,BAPUNG,HIGH SULPHUR,0-300,PROVED,11.01
233,India,17,Meghalaya,2014,EAST DARANGIRI,HIGH SULPHUR,0-300,INFERRED,34.19
234,India,17,Meghalaya,2014,JAYANTI HILLS (MINOR CF),HIGH SULPHUR,0-300,INFERRED,2.34
235,India,17,Meghalaya,2014,KHASI HILLS (MINOR CF),HIGH SULPHUR,0-300,INFERRED,10.1
236,India,17,Meghalaya,2014,LANGRIN,HIGH SULPHUR,0-300,INDICATED,16.51
237,India,17,Meghalaya,2014,LANGRIN,HIGH SULPHUR,0-300,INFERRED,106.19
238,India,17,Meghalaya,2014,LANGRIN,HIGH SULPHUR,0-300,PROVED,10.46
239,India,17,Meghalaya,2014,MAWLONG-SHELLA,HIGH SULPHUR,0-300,INFERRED,3.83
240,India,17,Meghalaya,2014,MAWLONG-SHELLA,HIGH SULPHUR,0-300,PROVED,2.17
241,India,17,Meghalaya,2014,SIJU,HIGH SULPHUR,0-300,INFERRED,125
242,India,17,Meghalaya,2014,WEST DARANGIRI,HIGH SULPHUR,0-300,INFERRED,59.6
243,India,17,Meghalaya,2014,WEST DARANGIRI,HIGH SULPHUR,0-300,PROVED,65.4
244,India,17,Meghalaya,2015,BALPHAKRAM-PENDENGURU,HIGH SULPHUR,0-300,INFERRED,107.03
245,India,17,Meghalaya,2015,BAPUNG,HIGH SULPHUR,0-300,INFERRED,22.65
246,India,17,Meghalaya,2015,BAPUNG,HIGH SULPHUR,0-300,PROVED,11.01
247,India,17,Meghalaya,2015,EAST DARANGIRI,HIGH SULPHUR,0-300,INFERRED,34.19
248,India,17,Meghalaya,2015,JAYANTI HILLS (MINOR CF),HIGH SULPHUR,0-300,INFERRED,2.34
249,India,17,Meghalaya,2015,KHASI HILLS (MINOR CF),HIGH SULPHUR,0-300,INFERRED,10.1
250,India,17,Meghalaya,2015,LANGRIN,HIGH SULPHUR,0-300,INDICATED,16.51
251,India,17,Meghalaya,2015,LANGRIN,HIGH SULPHUR,0-300,INFERRED,106.19
252,India,17,Meghalaya,2015,LANGRIN,HIGH SULPHUR,0-300,PROVED,10.46
253,India,17,Meghalaya,2015,MAWLONG-SHELLA,HIGH SULPHUR,0-300,INFERRED,3.83
254,India,17,Meghalaya,2015,MAWLONG-SHELLA,HIGH SULPHUR,0-300,PROVED,2.17
255,India,17,Meghalaya,2015,SIJU,HIGH SULPHUR,0-300,INFERRED,125
256,India,17,Meghalaya,2015,WEST DARANGIRI,HIGH SULPHUR,0-300,INFERRED,59.6
257,India,17,Meghalaya,2015,WEST DARANGIRI,HIGH SULPHUR,0-300,PROVED,65.4
258,India,17,Meghalaya,2016,BALPHAKRAM-PENDENGURU,HIGH SULPHUR,0-300,INFERRED,107.03
259,India,17,Meghalaya,2016,BAPUNG,HIGH SULPHUR,0-300,INFERRED,22.65
260,India,17,Meghalaya,2016,BAPUNG,HIGH SULPHUR,0-300,PROVED,11.01
261,India,17,Meghalaya,2016,EAST DARANGIRI,HIGH SULPHUR,0-300,INFERRED,34.19
262,India,17,Meghalaya,2016,JAYANTI HILLS (MINOR CF),HIGH SULPHUR,0-300,INFERRED,2.34
263,India,17,Meghalaya,2016,KHASI HILLS (MINOR CF),HIGH SULPHUR,0-300,INFERRED,10.1
264,India,17,Meghalaya,2016,LANGRIN,HIGH SULPHUR,0-300,INDICATED,16.51
265,India,17,Meghalaya,2016,LANGRIN,HIGH SULPHUR,0-300,INFERRED,106.19
266,India,17,Meghalaya,2016,LANGRIN,HIGH SULPHUR,0-300,PROVED,10.4
267,India,17,Meghalaya,2016,MAWLONG-SHELLA,HIGH SULPHUR,0-300,INFERRED,3.83
268,India,17,Meghalaya,2016,MAWLONG-SHELLA,HIGH SULPHUR,0-300,PROVED,2.17
269,India,17,Meghalaya,2016,SIJU,HIGH SULPHUR,0-300,INFERRED,125
270,India,17,Meghalaya,2016,WEST DARANGIRI,HIGH SULPHUR,0-300,INFERRED,59.6
271,India,17,Meghalaya,2016,WEST DARANGIRI,HIGH SULPHUR,0-300,PROVED,65.4
272,India,17,Meghalaya,2017,BALPHAKRAM-PENDENGURU,HIGH SULPHUR,0-300,INFERRED,107.03
273,India,17,Meghalaya,2017,BAPUNG,HIGH SULPHUR,0-300,INFERRED,22.65
274,India,17,Meghalaya,2017,BAPUNG,HIGH SULPHUR,0-300,PROVED,11.01
275,India,17,Meghalaya,2017,EAST DARANGIRI,HIGH SULPHUR,0-300,INFERRED,34.19
276,India,17,Meghalaya,2017,JAYANTI HILLS (MINOR CF),HIGH SULPHUR,0-300,INFERRED,2.34
277,India,17,Meghalaya,2017,KHASI HILLS (MINOR CF),HIGH SULPHUR,0-300,INFERRED,10.1
278,India,17,Meghalaya,2017,LANGRIN,HIGH SULPHUR,0-300,INDICATED,16.51
