Rowid,Country,State lgd code,State,Year,Types of coal,Coal consuming sectors,Coal consumed
1411,India,24,Gujarat,2020,RAW COAL,PULP & PAPER,0.072
1412,India,27,Maharashtra,2011,RAW COAL,CEMENT,1.817
1413,India,27,Maharashtra,2011,RAW COAL,CHEMICAL,0.031
1414,India,27,Maharashtra,2011,RAW COAL,OTHER,5.441
1415,India,27,Maharashtra,2011,RAW COAL,POWER (CAPTIVE),0.611
1416,India,27,Maharashtra,2011,RAW COAL,POWER (UTILITY),34.997
1417,India,27,Maharashtra,2011,RAW COAL,PULP & PAPER,0.283
1418,India,27,Maharashtra,2011,RAW COAL,SPONGE IRON,0.72
1419,India,27,Maharashtra,2011,RAW COAL,TEXTILES & RAYONS,0.055
1420,India,27,Maharashtra,2012,RAW COAL,CEMENT,1.796
1421,India,27,Maharashtra,2012,RAW COAL,CHEMICAL,0.029
1422,India,27,Maharashtra,2012,RAW COAL,OTHER,6.049
1423,India,27,Maharashtra,2012,RAW COAL,POWER (CAPTIVE),0.692
1424,India,27,Maharashtra,2012,RAW COAL,POWER (UTILITY),32.345
1425,India,27,Maharashtra,2012,RAW COAL,PULP & PAPER,0.277
1426,India,27,Maharashtra,2012,RAW COAL,SPONGE IRON,0.855
1427,India,27,Maharashtra,2012,RAW COAL,TEXTILES & RAYONS,0.059
1428,India,27,Maharashtra,2013,RAW COAL,CEMENT,1.947
1429,India,27,Maharashtra,2013,RAW COAL,CHEMICAL,0.029
1430,India,27,Maharashtra,2013,RAW COAL,OTHER,5.14
1431,India,27,Maharashtra,2013,RAW COAL,POWER (CAPTIVE),0.983
1432,India,27,Maharashtra,2013,RAW COAL,POWER (UTILITY),34.997
1433,India,27,Maharashtra,2013,RAW COAL,PULP & PAPER,0.298
1434,India,27,Maharashtra,2013,RAW COAL,SPONGE IRON,0.948
1435,India,27,Maharashtra,2013,RAW COAL,TEXTILES & RAYONS,0.033
1436,India,27,Maharashtra,2014,RAW COAL,CEMENT,1.829
1437,India,27,Maharashtra,2014,RAW COAL,CHEMICAL,0.025
1438,India,27,Maharashtra,2014,RAW COAL,OTHER,5.073
1439,India,27,Maharashtra,2014,RAW COAL,POWER (CAPTIVE),0.867
1440,India,27,Maharashtra,2014,RAW COAL,POWER (UTILITY),40.86
1441,India,27,Maharashtra,2014,RAW COAL,PULP & PAPER,0.135
1442,India,27,Maharashtra,2014,RAW COAL,SPONGE IRON,0.657
1443,India,27,Maharashtra,2014,RAW COAL,TEXTILES & RAYONS,0.033
1444,India,27,Maharashtra,2014,WASHED COAL,POWER (CAPTIVE),0.061
1445,India,27,Maharashtra,2014,WASHED COAL,SPONGE IRON,0.082
1446,India,27,Maharashtra,2015,RAW COAL,CEMENT,1.669
1447,India,27,Maharashtra,2015,RAW COAL,CHEMICAL,0.022
1448,India,27,Maharashtra,2015,RAW COAL,OTHER,4.851
1449,India,27,Maharashtra,2015,RAW COAL,POWER (CAPTIVE),0.895
1450,India,27,Maharashtra,2015,RAW COAL,POWER (UTILITY),46.147
1451,India,27,Maharashtra,2015,RAW COAL,PULP & PAPER,0.275
1452,India,27,Maharashtra,2015,RAW COAL,SPONGE IRON,0.675
1453,India,27,Maharashtra,2015,RAW COAL,TEXTILES & RAYONS,0.126
1454,India,27,Maharashtra,2015,WASHED COAL,OTHER,0.064
1455,India,27,Maharashtra,2016,RAW COAL,CEMENT,1.624
1456,India,27,Maharashtra,2016,RAW COAL,CHEMICAL,0.021
1457,India,27,Maharashtra,2016,RAW COAL,COLLIERY OWN - CONSUMPTION,0.002
1458,India,27,Maharashtra,2016,RAW COAL,OTHER,4.956
1459,India,27,Maharashtra,2016,RAW COAL,POWER (CAPTIVE),1.213
1460,India,27,Maharashtra,2016,RAW COAL,POWER (UTILITY),53.709
1461,India,27,Maharashtra,2016,RAW COAL,PULP & PAPER,0.273
1462,India,27,Maharashtra,2016,RAW COAL,SPONGE IRON,0.451
1463,India,27,Maharashtra,2016,RAW COAL,TEXTILES & RAYONS,0.052
1464,India,27,Maharashtra,2017,RAW COAL,CEMENT,1.181
1465,India,27,Maharashtra,2017,RAW COAL,CHEMICAL,0.031
1466,India,27,Maharashtra,2017,RAW COAL,COLLIERY OWN - CONSUMPTION,0.004
1467,India,27,Maharashtra,2017,RAW COAL,OTHER,3.011
1468,India,27,Maharashtra,2017,RAW COAL,POWER (CAPTIVE),0.206
1469,India,27,Maharashtra,2017,RAW COAL,POWER (UTILITY),48.209
1470,India,27,Maharashtra,2017,RAW COAL,PULP & PAPER,0.145
1471,India,27,Maharashtra,2017,RAW COAL,SPONGE IRON,0.295
1472,India,27,Maharashtra,2017,RAW COAL,TEXTILES & RAYONS,0.025
1473,India,27,Maharashtra,2018,RAW COAL,CEMENT,1.841
1474,India,27,Maharashtra,2018,RAW COAL,COLLIERY OWN - CONSUMPTION,0.004
1475,India,27,Maharashtra,2018,RAW COAL,OTHER,4.357
1476,India,27,Maharashtra,2018,RAW COAL,POWER (CAPTIVE),0.727
1477,India,27,Maharashtra,2018,RAW COAL,POWER (UTILITY),56.36
1478,India,27,Maharashtra,2018,RAW COAL,PULP & PAPER,0.416
1479,India,27,Maharashtra,2018,RAW COAL,SPONGE IRON,0.601
1480,India,27,Maharashtra,2018,RAW COAL,TEXTILES & RAYONS,0.068
1481,India,27,Maharashtra,2018,WASHED COAL,POWER (UTILITY),0.083
1482,India,27,Maharashtra,2019,RAW COAL,CEMENT,2.061
1483,India,27,Maharashtra,2019,RAW COAL,COLLIERY OWN - CONSUMPTION,0.003
1484,India,27,Maharashtra,2019,RAW COAL,OTHER,4.795
1485,India,27,Maharashtra,2019,RAW COAL,POWER (CAPTIVE),0.67
1486,India,27,Maharashtra,2019,RAW COAL,POWER (UTILITY),65.169
1487,India,27,Maharashtra,2019,RAW COAL,PULP & PAPER,0.436
1488,India,27,Maharashtra,2019,RAW COAL,SPONGE IRON,0.62
1489,India,27,Maharashtra,2019,RAW COAL,TEXTILES & RAYONS,0.08
1490,India,27,Maharashtra,2019,WASHED COAL,POWER (UTILITY),0.106
1491,India,27,Maharashtra,2020,RAW COAL,CEMENT,1.743
1492,India,27,Maharashtra,2020,RAW COAL,CHEMICAL,0.004
1493,India,27,Maharashtra,2020,RAW COAL,COLLIERY OWN - CONSUMPTION,0.003
1494,India,27,Maharashtra,2020,RAW COAL,OTHER,4.2
1495,India,27,Maharashtra,2020,RAW COAL,POWER (CAPTIVE),63.019
1496,India,27,Maharashtra,2020,RAW COAL,PULP & PAPER,0.045
1497,India,27,Maharashtra,2020,RAW COAL,SPONGE IRON,0.52
1498,India,27,Maharashtra,2020,RAW COAL,TEXTILES & RAYONS,0.021
1499,India,27,Maharashtra,2020,WASHED COAL,POWER (CAPTIVE),0.032
1500,India,28,Andhra Pradesh,2011,RAW COAL,BRICKS,0.0665516234252414593290
1501,India,28,Andhra Pradesh,2011,RAW COAL,CEMENT,2.7286165604348998324890
1502,India,28,Andhra Pradesh,2011,RAW COAL,CHEMICAL,0.16758908807992622031030
1503,India,28,Andhra Pradesh,2011,RAW COAL,OTHER,1.73760238615721337448080
1504,India,28,Andhra Pradesh,2011,RAW COAL,POWER (CAPTIVE),2.03466463253715479748570
1505,India,28,Andhra Pradesh,2011,RAW COAL,POWER (UTILITY),22.48960859966432296525080
1506,India,28,Andhra Pradesh,2011,RAW COAL,PULP & PAPER,0.58625930090053612808910
1507,India,28,Andhra Pradesh,2011,RAW COAL,SPONGE IRON,0.49671711665566580099190
1508,India,28,Andhra Pradesh,2011,RAW COAL,STEEL (BOILERS),0.07320678576776560526190
1509,India,28,Andhra Pradesh,2011,RAW COAL,TEXTILES & RAYONS,0.01875545751074986581090
1510,India,28,Andhra Pradesh,2011,WASHED COAL,BRICKS,0.00181504427523385798170
1511,India,28,Andhra Pradesh,2011,WASHED COAL,CEMENT,0.12463304023272491474340
1512,India,28,Andhra Pradesh,2011,WASHED COAL,METALLURGICAL USE- COKERIES,0.23293068198834510765150
1513,India,28,Andhra Pradesh,2011,WASHED COAL,OTHER,0.06171150535795117137780
1514,India,28,Andhra Pradesh,2011,WASHED COAL,POWER (CAPTIVE),0.02359557557804015376210
1515,India,28,Andhra Pradesh,2011,WASHED COAL,POWER (UTILITY),0.14157345346824092257260
1516,India,28,Andhra Pradesh,2011,WASHED COAL,SPONGE IRON,0.00302507379205642996950
1517,India,28,Andhra Pradesh,2011,WASHED COAL,TEXTILES & RAYONS,0.00968023613458057590240
1518,India,28,Andhra Pradesh,2012,RAW COAL,BRICKS,0.03085575267897558568890
1519,India,28,Andhra Pradesh,2012,RAW COAL,CEMENT,2.50173602603066758477650
1520,India,28,Andhra Pradesh,2012,RAW COAL,CHEMICAL,0.13128820257524906067630
1521,India,28,Andhra Pradesh,2012,RAW COAL,METALLURGICAL USE- DIRECT FEED,0.06594660866683017333510
1522,India,28,Andhra Pradesh,2012,RAW COAL,OTHER,1.95238262539321990231530
1523,India,28,Andhra Pradesh,2012,RAW COAL,POWER (CAPTIVE),2.02256433736892907760770
1524,India,28,Andhra Pradesh,2012,RAW COAL,POWER (UTILITY),26.2092393343769092557480
1525,India,28,Andhra Pradesh,2012,RAW COAL,PULP & PAPER,0.52696785457623010068690
1526,India,28,Andhra Pradesh,2012,RAW COAL,SPONGE IRON,0.46828142301033535927860
1527,India,28,Andhra Pradesh,2012,RAW COAL,TEXTILES & RAYONS,0.01512536896028214984750
1528,India,28,Andhra Pradesh,2012,WASHED COAL,METALLURGICAL USE- COKERIES,0.28496195121171570312690
1529,India,28,Andhra Pradesh,2013,RAW COAL,BRICKS,0.00363008855046771596340
1530,India,28,Andhra Pradesh,2013,RAW COAL,CEMENT,2.45393986011617599125840
1531,India,28,Andhra Pradesh,2013,RAW COAL,CHEMICAL,0.12039793692384591278610
1532,India,28,Andhra Pradesh,2013,RAW COAL,METALLURGICAL USE- COKERIES,0.04598112163925773553640
1533,India,28,Andhra Pradesh,2013,RAW COAL,OTHER,1.70432657444459264481630
1534,India,28,Andhra Pradesh,2013,RAW COAL,POWER (CAPTIVE),2.11392156588903326268660
1535,India,28,Andhra Pradesh,2013,RAW COAL,POWER (UTILITY),28.92636061440199465435290
1536,India,28,Andhra Pradesh,2013,RAW COAL,PULP & PAPER,0.52273275126735109872960
1537,India,28,Andhra Pradesh,2013,RAW COAL,SPONGE IRON,0.36966401738929574227290
1538,India,28,Andhra Pradesh,2013,RAW COAL,TEXTILES & RAYONS,0.01028525089299186189630
1539,India,28,Andhra Pradesh,2013,WASHED COAL,METALLURGICAL USE- COKERIES,0.3146076743738687168280
1540,India,28,Andhra Pradesh,2014,RAW COAL,BRICKS,0.01391533944345957785970
1541,India,28,Andhra Pradesh,2014,RAW COAL,CEMENT,2.20951389771801644972280
1542,India,28,Andhra Pradesh,2014,RAW COAL,CHEMICAL,0.12584306974954748673120
1543,India,28,Andhra Pradesh,2014,RAW COAL,METALLURGICAL USE- DIRECT FEED,0.00423510330887900195730
1544,India,28,Andhra Pradesh,2014,RAW COAL,OTHER,1.92152687271424431662640
1545,India,28,Andhra Pradesh,2014,RAW COAL,POWER (CAPTIVE),1.96085283201097790622990
1546,India,28,Andhra Pradesh,2014,RAW COAL,POWER (UTILITY),27.25470483691161145320720
1547,India,28,Andhra Pradesh,2014,RAW COAL,PULP & PAPER,0.59654455179352798998540
1548,India,28,Andhra Pradesh,2014,RAW COAL,SPONGE IRON,0.26439144942573197933430
1549,India,28,Andhra Pradesh,2014,RAW COAL,TEXTILES & RAYONS,0.00847020661775800391460
1550,India,28,Andhra Pradesh,2014,WASHED COAL,POWER (CAPTIVE),0.25289616901591754545020
1551,India,28,Andhra Pradesh,2015,RAW COAL,BRICKS,0.004
1552,India,28,Andhra Pradesh,2015,RAW COAL,CHEMICAL,0.06
1553,India,28,Andhra Pradesh,2015,RAW COAL,OTHER,1.995
1554,India,28,Andhra Pradesh,2015,RAW COAL,POWER (CAPTIVE),1.82
1555,India,28,Andhra Pradesh,2015,RAW COAL,POWER (UTILITY),22.109
1556,India,28,Andhra Pradesh,2015,RAW COAL,PULP & PAPER,0.134
1557,India,28,Andhra Pradesh,2015,RAW COAL,SPONGE IRON,0.122
1558,India,28,Andhra Pradesh,2016,RAW COAL,BRICKS,0.005
1559,India,28,Andhra Pradesh,2016,RAW COAL,CEMENT,0.471
1560,India,28,Andhra Pradesh,2016,RAW COAL,CHEMICAL,0.06
1561,India,28,Andhra Pradesh,2016,RAW COAL,OTHER,0.675
1562,India,28,Andhra Pradesh,2016,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.125
1563,India,28,Andhra Pradesh,2016,RAW COAL,POWER (CAPTIVE),1.763
1564,India,28,Andhra Pradesh,2016,RAW COAL,POWER (UTILITY),29.155
1565,India,28,Andhra Pradesh,2016,RAW COAL,PULP & PAPER,0.072
1566,India,28,Andhra Pradesh,2016,RAW COAL,SPONGE IRON,0.124
1567,India,28,Andhra Pradesh,2016,WASHED COAL,METALLURGICAL USE- COKERIES,0.408
1568,India,28,Andhra Pradesh,2017,RAW COAL,BRICKS,0.002
1569,India,28,Andhra Pradesh,2017,RAW COAL,CEMENT,0.204
1570,India,28,Andhra Pradesh,2017,RAW COAL,CHEMICAL,0.045
1571,India,28,Andhra Pradesh,2017,RAW COAL,OTHER,0.829
1572,India,28,Andhra Pradesh,2017,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.094
1573,India,28,Andhra Pradesh,2017,RAW COAL,POWER (CAPTIVE),1.696
1574,India,28,Andhra Pradesh,2017,RAW COAL,POWER (UTILITY),32.195
1575,India,28,Andhra Pradesh,2017,RAW COAL,PULP & PAPER,0.078
1576,India,28,Andhra Pradesh,2017,RAW COAL,SPONGE IRON,0.265
1577,India,28,Andhra Pradesh,2017,WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.372
1578,India,28,Andhra Pradesh,2017,WASHED COAL,POWER (UTILITY),0.102
1579,India,28,Andhra Pradesh,2018,RAW COAL,CEMENT,0.252
1580,India,28,Andhra Pradesh,2018,RAW COAL,CHEMICAL,0.072
1581,India,28,Andhra Pradesh,2018,RAW COAL,OTHER,0.772
1582,India,28,Andhra Pradesh,2018,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.075
1583,India,28,Andhra Pradesh,2018,RAW COAL,POWER (CAPTIVE),2.033
1584,India,28,Andhra Pradesh,2018,RAW COAL,POWER (UTILITY),31.604
1585,India,28,Andhra Pradesh,2018,RAW COAL,PULP & PAPER,0.088
1586,India,28,Andhra Pradesh,2018,RAW COAL,SPONGE IRON,0.069
1587,India,28,Andhra Pradesh,2018,WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.508
1588,India,28,Andhra Pradesh,2018,WASHED COAL,POWER (UTILITY),0.016
1589,India,28,Andhra Pradesh,2019,RAW COAL,CEMENT,0.383
1590,India,28,Andhra Pradesh,2019,RAW COAL,CHEMICAL,0.096
1591,India,28,Andhra Pradesh,2019,RAW COAL,OTHER,0.693
1592,India,28,Andhra Pradesh,2019,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.052
1593,India,28,Andhra Pradesh,2019,RAW COAL,POWER (CAPTIVE),2.199
1594,India,28,Andhra Pradesh,2019,RAW COAL,POWER (UTILITY),32.156
1595,India,28,Andhra Pradesh,2019,RAW COAL,PULP & PAPER,0.181
1596,India,28,Andhra Pradesh,2019,RAW COAL,SPONGE IRON,0.062
1597,India,28,Andhra Pradesh,2019,WASHED COAL,OTHER,0.336
1598,India,28,Andhra Pradesh,2019,WASHED COAL,POWER (UTILITY),0.027
1599,India,28,Andhra Pradesh,2020,RAW COAL,CEMENT,0.214
1600,India,28,Andhra Pradesh,2020,RAW COAL,CHEMICAL,0.089
1601,India,28,Andhra Pradesh,2020,RAW COAL,OTHER,0.621
1602,India,28,Andhra Pradesh,2020,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.022
1603,India,28,Andhra Pradesh,2020,RAW COAL,POWER (CAPTIVE),34.288
1604,India,28,Andhra Pradesh,2020,RAW COAL,PULP & PAPER,0.137
1605,India,28,Andhra Pradesh,2020,RAW COAL,SPONGE IRON,0.035
1606,India,28,Andhra Pradesh,2020,WASHED COAL,POWER (CAPTIVE),0.289
1607,India,29,Karnataka,2011,RAW COAL,BRICKS,0.004
1608,India,29,Karnataka,2011,RAW COAL,CEMENT,1.924
1609,India,29,Karnataka,2011,RAW COAL,CHEMICAL,0.006
1610,India,29,Karnataka,2011,RAW COAL,OTHER,0.193
1611,India,29,Karnataka,2011,RAW COAL,POWER (CAPTIVE),1.235
1612,India,29,Karnataka,2011,RAW COAL,POWER (UTILITY),7.667
1613,India,29,Karnataka,2011,RAW COAL,PULP & PAPER,0.277
1614,India,29,Karnataka,2011,RAW COAL,SPONGE IRON,0.694
1615,India,29,Karnataka,2011,RAW COAL,STEEL (BOILERS),0.01
1616,India,29,Karnataka,2011,RAW COAL,TEXTILES & RAYONS,0.09
1617,India,29,Karnataka,2011,WASHED COAL,CEMENT,0.045
1618,India,29,Karnataka,2011,WASHED COAL,OTHER,0.001
1619,India,29,Karnataka,2012,RAW COAL,BRICKS,0.002
1620,India,29,Karnataka,2012,RAW COAL,CEMENT,1.209
1621,India,29,Karnataka,2012,RAW COAL,CHEMICAL,0.006
1622,India,29,Karnataka,2012,RAW COAL,METALLURGICAL USE- DIRECT FEED,0.002
1623,India,29,Karnataka,2012,RAW COAL,OTHER,0.504
1624,India,29,Karnataka,2012,RAW COAL,POWER (CAPTIVE),3.294
1625,India,29,Karnataka,2012,RAW COAL,POWER (UTILITY),6.393
1626,India,29,Karnataka,2012,RAW COAL,PULP & PAPER,0.248
1627,India,29,Karnataka,2012,RAW COAL,SPONGE IRON,0.491
1628,India,29,Karnataka,2012,RAW COAL,TEXTILES & RAYONS,0.071
1629,India,29,Karnataka,2013,RAW COAL,BRICKS,0.001
1630,India,29,Karnataka,2013,RAW COAL,CEMENT,1.358
1631,India,29,Karnataka,2013,RAW COAL,CHEMICAL,0.006
1632,India,29,Karnataka,2013,RAW COAL,OTHER,0.114
1633,India,29,Karnataka,2013,RAW COAL,POWER (CAPTIVE),3.643
1634,India,29,Karnataka,2013,RAW COAL,POWER (UTILITY),6.856
1635,India,29,Karnataka,2013,RAW COAL,PULP & PAPER,0.243
1636,India,29,Karnataka,2013,RAW COAL,SPONGE IRON,0.133
1637,India,29,Karnataka,2013,RAW COAL,TEXTILES & RAYONS,0.15
1638,India,29,Karnataka,2014,RAW COAL,CEMENT,1.706
1639,India,29,Karnataka,2014,RAW COAL,CHEMICAL,0.007
1640,India,29,Karnataka,2014,RAW COAL,OTHER,0.1
1641,India,29,Karnataka,2014,RAW COAL,POWER (CAPTIVE),3.351
1642,India,29,Karnataka,2014,RAW COAL,POWER (UTILITY),8.089
1643,India,29,Karnataka,2014,RAW COAL,PULP & PAPER,0.203
1644,India,29,Karnataka,2014,RAW COAL,SPONGE IRON,0.053
1645,India,29,Karnataka,2014,RAW COAL,TEXTILES & RAYONS,0.203
1646,India,29,Karnataka,2015,RAW COAL,CEMENT,0.112
1647,India,29,Karnataka,2015,RAW COAL,CHEMICAL,0.008
1648,India,29,Karnataka,2015,RAW COAL,OTHER,1.719
1649,India,29,Karnataka,2015,RAW COAL,POWER (CAPTIVE),0.86
1650,India,29,Karnataka,2015,RAW COAL,POWER (UTILITY),9.359
1651,India,29,Karnataka,2015,RAW COAL,PULP & PAPER,0.206
1652,India,29,Karnataka,2015,RAW COAL,TEXTILES & RAYONS,0.182
1653,India,29,Karnataka,2016,RAW COAL,CEMENT,1.475
1654,India,29,Karnataka,2016,RAW COAL,CHEMICAL,0.008
1655,India,29,Karnataka,2016,RAW COAL,OTHER,0.042
1656,India,29,Karnataka,2016,RAW COAL,POWER (CAPTIVE),0.663
1657,India,29,Karnataka,2016,RAW COAL,POWER (UTILITY),12.73
1658,India,29,Karnataka,2016,RAW COAL,PULP & PAPER,0.12
1659,India,29,Karnataka,2016,RAW COAL,SPONGE IRON,0.023
1660,India,29,Karnataka,2016,RAW COAL,TEXTILES & RAYONS,0.109
1661,India,29,Karnataka,2017,RAW COAL,CEMENT,1.109
1662,India,29,Karnataka,2017,RAW COAL,CHEMICAL,0.008
1663,India,29,Karnataka,2017,RAW COAL,OTHER,0.034
1664,India,29,Karnataka,2017,RAW COAL,POWER (CAPTIVE),0.604
1665,India,29,Karnataka,2017,RAW COAL,POWER (UTILITY),11.988
1666,India,29,Karnataka,2017,RAW COAL,PULP & PAPER,0.07
1667,India,29,Karnataka,2017,RAW COAL,SPONGE IRON,0.016
1668,India,29,Karnataka,2017,RAW COAL,TEXTILES & RAYONS,0.13
1669,India,29,Karnataka,2018,RAW COAL,CEMENT,0.9
1670,India,29,Karnataka,2018,RAW COAL,CHEMICAL,0.009
1671,India,29,Karnataka,2018,RAW COAL,OTHER,0.135
1672,India,29,Karnataka,2018,RAW COAL,POWER (CAPTIVE),1.103
1673,India,29,Karnataka,2018,RAW COAL,POWER (UTILITY),11.855
1674,India,29,Karnataka,2018,RAW COAL,PULP & PAPER,0.023
1675,India,29,Karnataka,2018,RAW COAL,SPONGE IRON,0.014
1676,India,29,Karnataka,2018,RAW COAL,TEXTILES & RAYONS,0.1
1677,India,29,Karnataka,2019,RAW COAL,CEMENT,0.94
1678,India,29,Karnataka,2019,RAW COAL,CHEMICAL,0.004
1679,India,29,Karnataka,2019,RAW COAL,OTHER,0.06
1680,India,29,Karnataka,2019,RAW COAL,POWER (CAPTIVE),1.357
1681,India,29,Karnataka,2019,RAW COAL,POWER (UTILITY),12.256
1682,India,29,Karnataka,2019,RAW COAL,PULP & PAPER,0.034
1683,India,29,Karnataka,2019,RAW COAL,SPONGE IRON,0.023
1684,India,29,Karnataka,2019,RAW COAL,TEXTILES & RAYONS,0.074
1685,India,29,Karnataka,2020,RAW COAL,CEMENT,0.635
1686,India,29,Karnataka,2020,RAW COAL,CHEMICAL,0.003
1687,India,29,Karnataka,2020,RAW COAL,OTHER,0.033
1688,India,29,Karnataka,2020,RAW COAL,POWER (CAPTIVE),12.224
1689,India,29,Karnataka,2020,RAW COAL,PULP & PAPER,0.1
1690,India,29,Karnataka,2020,RAW COAL,SPONGE IRON,0.012
1691,India,29,Karnataka,2020,RAW COAL,TEXTILES & RAYONS,0.068
1692,India,30,Goa,2012,RAW COAL,OTHER,0.006
1693,India,30,Goa,2012,RAW COAL,SPONGE IRON,0.023
1694,India,30,Goa,2013,RAW COAL,POWER (CAPTIVE),0.012
1695,India,30,Goa,2013,RAW COAL,SPONGE IRON,0.017
1696,India,30,Goa,2014,RAW COAL,POWER (CAPTIVE),0.006
1697,India,30,Goa,2014,RAW COAL,SPONGE IRON,0.037
1698,India,30,Goa,2015,RAW COAL,POWER (CAPTIVE),0.005
1699,India,30,Goa,2015,RAW COAL,SPONGE IRON,0.037
1700,India,32,Kerala,2011,RAW COAL,CEMENT,0.034
1701,India,32,Kerala,2011,RAW COAL,PULP & PAPER,0.179
1702,India,32,Kerala,2012,RAW COAL,CEMENT,0.026
1703,India,32,Kerala,2012,RAW COAL,PULP & PAPER,0.1
1704,India,32,Kerala,2013,RAW COAL,CEMENT,0.045
1705,India,32,Kerala,2013,RAW COAL,PULP & PAPER,0.088
1706,India,32,Kerala,2014,RAW COAL,CEMENT,0.031
1707,India,32,Kerala,2014,RAW COAL,PULP & PAPER,0.052
1708,India,32,Kerala,2015,RAW COAL,OTHER,0.027
1709,India,32,Kerala,2015,RAW COAL,PULP & PAPER,0.073
1710,India,32,Kerala,2016,RAW COAL,CEMENT,0.035
1711,India,32,Kerala,2016,RAW COAL,PULP & PAPER,0.046
1712,India,32,Kerala,2017,RAW COAL,CEMENT,0.031
1713,India,32,Kerala,2017,RAW COAL,POWER (CAPTIVE),0.018
1714,India,32,Kerala,2017,RAW COAL,PULP & PAPER,0.027
1715,India,32,Kerala,2018,RAW COAL,CEMENT,0.043
1716,India,32,Kerala,2018,RAW COAL,PULP & PAPER,0.027
1717,India,32,Kerala,2019,RAW COAL,CEMENT,0.04
1718,India,32,Kerala,2020,RAW COAL,CEMENT,0.036
1719,India,33,Tamil Nadu,2011,LIGNITE,BRICKS,0.016
1720,India,33,Tamil Nadu,2011,LIGNITE,CEMENT,0.242
1721,India,33,Tamil Nadu,2011,LIGNITE,CHEMICAL,0.002
1722,India,33,Tamil Nadu,2011,LIGNITE,OTHER,0.054
1723,India,33,Tamil Nadu,2011,LIGNITE,POWER (UTILITY),22.722
1724,India,33,Tamil Nadu,2011,LIGNITE,PULP & PAPER,0.045
1725,India,33,Tamil Nadu,2011,RAW COAL,CEMENT,0.246
1726,India,33,Tamil Nadu,2011,RAW COAL,OTHER,0.03
1727,India,33,Tamil Nadu,2011,RAW COAL,POWER (CAPTIVE),0.488
1728,India,33,Tamil Nadu,2011,RAW COAL,POWER (UTILITY),12.695
1729,India,33,Tamil Nadu,2011,RAW COAL,PULP & PAPER,0.073
1730,India,33,Tamil Nadu,2011,RAW COAL,SPONGE IRON,0.115
1731,India,33,Tamil Nadu,2012,LIGNITE,BRICKS,0.014
1732,India,33,Tamil Nadu,2012,LIGNITE,CEMENT,0.586
1733,India,33,Tamil Nadu,2012,LIGNITE,CHEMICAL,0.001
1734,India,33,Tamil Nadu,2012,LIGNITE,OTHER,0.037
1735,India,33,Tamil Nadu,2012,LIGNITE,POWER (UTILITY),23.74
1736,India,33,Tamil Nadu,2012,LIGNITE,PULP & PAPER,0.052
1737,India,33,Tamil Nadu,2012,LIGNITE,STEEL (BOILERS),0.031
1738,India,33,Tamil Nadu,2012,LIGNITE,TEXTILES & RAYONS,0.001
1739,India,33,Tamil Nadu,2012,RAW COAL,CEMENT,0.171
1740,India,33,Tamil Nadu,2012,RAW COAL,OTHER,0.053
1741,India,33,Tamil Nadu,2012,RAW COAL,POWER (CAPTIVE),0.693
1742,India,33,Tamil Nadu,2012,RAW COAL,POWER (UTILITY),12.96
1743,India,33,Tamil Nadu,2012,RAW COAL,PULP & PAPER,0.023
1744,India,33,Tamil Nadu,2012,RAW COAL,SPONGE IRON,4.836
1745,India,33,Tamil Nadu,2013,LIGNITE,BRICKS,0.009
1746,India,33,Tamil Nadu,2013,LIGNITE,CEMENT,0.668
1747,India,33,Tamil Nadu,2013,LIGNITE,CHEMICAL,0.018
1748,India,33,Tamil Nadu,2013,LIGNITE,OTHER,0.081
1749,India,33,Tamil Nadu,2013,LIGNITE,POWER (UTILITY),24.836
1750,India,33,Tamil Nadu,2013,LIGNITE,PULP & PAPER,0.027
1751,India,33,Tamil Nadu,2013,LIGNITE,STEEL (BOILERS),0.049
1752,India,33,Tamil Nadu,2013,LIGNITE,TEXTILES & RAYONS,0.003
1753,India,33,Tamil Nadu,2013,RAW COAL,CEMENT,0.189
1754,India,33,Tamil Nadu,2013,RAW COAL,OTHER,0.043
1755,India,33,Tamil Nadu,2013,RAW COAL,POWER (CAPTIVE),0.584
1756,India,33,Tamil Nadu,2013,RAW COAL,POWER (UTILITY),12.85
1757,India,33,Tamil Nadu,2013,RAW COAL,PULP & PAPER,0.02
1758,India,33,Tamil Nadu,2013,RAW COAL,SPONGE IRON,0.011
1759,India,33,Tamil Nadu,2014,LIGNITE,BRICKS,0.01
1760,India,33,Tamil Nadu,2014,LIGNITE,CEMENT,0.995
1761,India,33,Tamil Nadu,2014,LIGNITE,CHEMICAL,0.013
1762,India,33,Tamil Nadu,2014,LIGNITE,OTHER,0.053
1763,India,33,Tamil Nadu,2014,LIGNITE,POWER (UTILITY),24.819
1764,India,33,Tamil Nadu,2014,LIGNITE,PULP & PAPER,0.071
1765,India,33,Tamil Nadu,2014,LIGNITE,STEEL (BOILERS),0.026
1766,India,33,Tamil Nadu,2014,LIGNITE,TEXTILES & RAYONS,0.004
